character,romaji,meaning
怯える,obieru,to become frightened
おびただしい,obitadashii,"abundantly, innumerably"
脅かす,obiyakasu,"to threaten, to coerce"
帯びる,obiru,"to bear, to carry, to be entrusted"
お袋,ofukuro,mother
覚え,oboe,"memory, sense, experience"
おまけ,omake,a discount; something additional
お宮,omiya,Shinto shrine
おむつ,omutsu,"diaper, nappy"
思い付き,omoitsuki,"plan, idea, suggestion"
趣,omomuki,"flavor, appearance, quaint"
赴く,omomuku,"to go, to proceed"
重んじる,omonjiru,"to respect, to honor, to esteem, to prize"
重んずる,omonzuru,"to honor, to respect, to value"
親父,oyaji,"one's father, old man, one's boss"
及び,oyobi,"and, as well as"
及ぶ,oyobu,"to reach, to extend"
折,ori,"chance, occasion"
檻,ori,"cage, pen, jail cell"
オリエンテーション,orienteeshon,orientation
折り返す,orikaesu,"to turn up, to fold back"
織物,orimono,"textile, fabric"
俺,ore,I (ego) (boastful first-person pronoun)
愚か,oroka,"foolish, stupid"
おろそか,orosoka,"neglect, negligence, carelessness"
おんぶ,ombu,carrying on one's back (erg. Baby)
オンライン,onrain,on-line
温和,onwa,"gentle, mild, moderate"
我,ga~,ego
カーペット,kaapetto,carpet
~界,~kai,"world, circle, kingdom"
~街,~gai,town
改悪,kaiaku,"deterioration, changing for the worse"
海運,kaiun,marine transportation
外貨,gaika,foreign money
改革,kaikaku,"reform, reformation, innovation"
貝殻,kaigara,shell
外観,gaikan,"appearance, exterior, facade"
階級,kaikyuu,"class, rank, grade"
海峡,kaikyou,channel
会見,kaiken,"interview, conference"
介護,kaigo,nursing
開催,kaisai,"holding a meeting, open an exhibition"
回収,kaishuu,"collection, recovery"
改修,kaishuu,"repair, improvement"
怪獣,kaijuu,monster
解除,kaijo,"cancellation, release, cancel"
外相,gaishou,Foreign Minister
害する,gaisuru,"to harm, to offend"
概説,gaisetsu,"general statement, outline"
回送,kaisou,forwarding
階層,kaisou,"class, level, stratum, hierarchy"
開拓,kaitaku,"cultivation, pioneer"
会談,kaidan,"conversation, interview"
改定,kaitei,reform
改訂,kaitei,revision
ガイド,gaido,guide
街道,kaidou,highway
該当,gaitou,"corresponding, answering to, coming under"
街頭,gaitou,in the street
ガイドブック,gaidobukku,guidebook
介入,kainyuu,intervention
概念,gainen,"general idea, concept, notion"
開発,kaihatsu,"development, exploitation"
海抜,kaibatsu,height above sea level
介抱,kaihou,"nursing, looking after"
解剖,kaibou,"dissection, autopsy"
外来,gairai,"(abbr.) imported, outpatient clinic"
回覧,kairan,circulation
概略,gairyaku,"outline, summary, gist"
海流,kairyuu,ocean current
改良,kairyou,"improvement, reform"
回路,kairo,circuit (electric)
海路,kairo,sea route
省みる,kaerimiru,to reflect
顧みる,kaerimiru,"to look back, to turn around, to review"
顔付き,kaotsuki,facial expression
課外,kagai,extracurricular
掲げる,kakageru,"to hoist, to fly (a sail), to float (a flag)"
かかと,kakato,shoe heel
書き取る,kakitoru,"to write down, to take dictation"
掻き回す,kakimawasu,"to stir up, to churn, to disturb"
かく (はじを),kaku (hajio),to humiliate oneself
~画,~kaku,~ strokes
学芸,gakugei,"arts and sciences, liberal arts"
格差,kakusa,"difference, disparity"
拡散,kakusan,"scattering, diffusion"
学士,gakushi,university graduate
各種,kakushu,"every kind, all sorts"
隔週,kakushuu,every other week
確信,kakushin,"conviction, confidence"
革新,kakushin,"reform, innovation"
学説,gakusetsu,theory
確定,kakutei,"fixed, decision"
カクテル,kakuteru,cocktail
獲得,kakutoku,"acquisition, possession"
楽譜,gakufu,"score (music, sheet music)"
確保,kakuho,"guarantee, insure, secure"
革命,kakumei,revolution
確立,kakuritsu,establishment
賭,kake,"betting, gambling, a gamble"
掛~,kake~,credit
~掛け,~kake,"rack, hanger"
崖,gake,cliff
駆け足,kakeashi,"running fast, double time"
家計,kakei,"household economy, family finances"
駆けっこ,kakekko,(foot) race
加工,kakou,"manufacturing, processing, treatment"
化合,kagou,chemical combination
かさばる,kasabaru,to be bulky
かさむ,kasamu,"to pile up, to increase"
箇条書,kajougaki,"itemized form, itemization"
頭,kashira,"head, chief"
微か,kasuka,"faint, dim, weak"
霞む,kasumu,"to grow hazy, to be misty"
擦る,kasuru,"to rub, to chafe"
火星,kasei,Mars
化石,kaseki,"fossil, petrifaction, fossilization"
河川,kasen,rivers
化繊,kasen,synthetic fibers
過疎,kaso,depopulation
片~,kata~,single ~
片言,katakoto,"broken (in reference to speaking style, e.g., Japanese)"
傾ける,katamukeru,"to incline, to tilt, to bend"
固める,katameru,"to harden, to freeze, to fortify"
傍ら,katawara,"beside(s, while, nearby"
花壇,kadan,flower bed
家畜,kachiku,"domestic animals, livestock, cattle"
且つ,katsu,"yet, and"
がっくり,gakkuri,heartbroken
合唱,gasshou,"chorus, singing in a chorus"
がっしり,gasshiri,"firmly, solidly, tough"
合致,gacchi,"agreement, concurrence, conforming to"
がっちり,gacchiri,"solidly built, tightly"
かつて,katsute,"once, before, formerly"
勝手,katte,"kitchen; one's way, selfishness"
カット,katto,"cut, cutting"
活発,kappatsu,"vigor, active"
合併,gappei,"combination, amalgamation, merger"
カテゴリー,kategorii,category
叶う,kanau,to come true
叶える,kanaeru,"to grant (request, wish)"
金槌,kanazuchi,(iron) hammer
かなわない,kanawanai,"be beyond one's power, be unable"
加入,kanyuu,"becoming a member, admission"
予て,kanete,"previously, already, lately"
庇う,kabau,"to protect someone, to&nbsp;&nbsp;cover up for someone"
株式,kabushiki,stock
かぶれる,kabureru,to react to; to be influenced by
花粉,kafun,pollen
貨幣,kahei,"money, currency, coinage"
構える,kamaeru,to set up
過密,kamitsu,crowded
噛み切る,kamikiru,"to bite off, to gnaw through"
カムバック,kamubakku,comeback
カメラマン,kameraman,cameraman
粥,kayu,rice porridge
体付き,karadatsuki,"body build, figure"
絡む,karamu,"to entangle, to entwine"
かりに,karini,"temporarily; if, for argument's sake"
カルテ,karute,clinical records (GER: Karte)
ガレージ,gareeji,garage (at house)
過労,karou,"overwork, strain"
かろうじて,karoujite,"barely, narrowly"
交す,kawasu,to exchange
代る代る,kawarugawaru,alternately
簡易,kani,"simplicity, easiness, quasi-"
灌漑,kangai,irrigation
眼科,ganka,ophthalmology
眼球,gankyuu,eyeball
玩具,gangu,toy
簡潔,kanketsu,"brevity, concise, simple"
還元,kangen,"resolution, reduction, return"
看護,kango,nursing
漢語,kango,"Chinese word, Sino-Japanese word"
頑固,ganko,"stubbornness, obstinacy"
勧告,kankoku,"advice, counsel"
換算,kansan,"conversion, change, exchange"
監視,kanshi,"observation, guarding, surveillance"
慣習,kanshuu,usual (historical) custom
観衆,kanshuu,"spectators, audience"
願書,gansho,application form
干渉,kanshou,"interference, intervention"
頑丈,ganjou,"solid, firm, strong"
感触,kanshoku,"sense of touch, feeling, sensation"
肝心,kanjin,"essential, fundamental, crucial"
肝腎,kanjin,"essential, fundamental, crucial"
関税,kanzei,"customs, duty, tariff"
岩石,ganseki,rock
感染,kansen,"infection, contagion"
幹線,kansen,"main line, trunk line"
簡素,kanso,"simplicity, plain"
観点,kanten,point of view
感度,kando,"sensitivity, severity (quake)"
カンニング,kanningu,"cunning, cheat"
元年,gannen,first year (of a specific reign)
幹部,kambu,"management, executive"
完ぺき,kampeki,"perfection, completeness, flawless"
勘弁,kamben,"pardon, forgiveness, forbearance"
感無量,kammuryou,"deep feeling, filled with emotion"
勧誘,kanyuu,"invitation, canvassing, inducement"
関与,kanyo,"participation, taking part in"
寛容,kanyou,"forbearance, tolerance, generosity, involvement"
元来,ganrai,"originally, naturally"
観覧,kanran,viewing
慣例,kanrei,"custom, precedent, of convention"
還暦,kanreki,60th birthday
貫禄,kanroku,"presence, dignity"
緩和,kanwa,"relief, mitigation"
議案,gian,legislative bill
危害,kigai,"injury, harm, danger"
企画,kikaku,"planning, project"
規格,kikaku,"standard, norm"
着飾る,kikazaru,to dress up
気兼ね,kigane,"hesitance, diffidence, feeling constraint"
気軽,kigaru,"cheerful, buoyant, lighthearted"
危機,kiki,crisis
聞き取り,kikitori,listening comprehension
効き目,kikime,"effect, virtue, efficacy"
帰京,kikyou,returning to Tokyo
戯曲,gikyoku,"play, drama"
基金,kikin,"fund, foundation"
喜劇,kigeki,"comedy, funny show"
議決,giketsu,"resolution, decision, vote"
棄権,kiken,"abstain from voting, renunciation of a right"
既婚,kikon,married
気障,kiza,"affectation, conceit, snobbery"
記載,kisai,"mention, entry"
兆,kizashi,"sign, omen, indication"
気質,kishitsu,"character, trait, temperament"
期日,kijitsu,"fixed date, settlement date"
きしむ,kishimu,"to jar, to creak, to grate"
議事堂,gijidou,Diet building
記述,kijutsu,"describing, descriptor"
気象,kishou,"weather, climate"
傷付く,kizutsuku,"to be hurt, to be wounded, to get injured"
傷付ける,kizutsukeru,"to wound, to hurt someone's feelings"
犠牲,gisei,sacrifice
汽船,kisen,steamship
寄贈,kizou,"donation, presentation"
偽造,gizou,"forgery, fabrication, counterfeiting"
貴族,kizoku,"noble, aristocrat"
議題,gidai,"topic of discussion, agenda"
鍛える,kitaeru,"to forge, to train, to discipline"
気立て,kidate,"good-natured, kind-hearted"
来る,kitaru,"to come, to approach,"
きちっと,kichitto,"exactly, perfectly"
几帳面,kichoumen,"methodical, punctual, steady"
きっかり,kikkari,"exactly, precisely"
きっちり,kicchiri,"precisely, tightly"
きっぱり,kippari,"clearly, plainly, distinctly"
規定,kitei,"regulation, provisions"
起点,kiten,starting point
軌道,kidou,orbit; track
技能,ginou,"technical skill, ability, capacity"
規範,kihan,"model, standard, example"
気品,kihin,"grace, elegance"
気風,kifuu,"character, traits, ethos"
起伏,kifuku,undulation
規模,kibo,"scale, scope, plan, structure"
気まぐれ,kimagure,"whim, caprice, uneven temper"
生真面目,kimajime,"serious, sincerity"
期末,kimatsu,(end of the season or term)
きまりわるい,kimariwarui,"feeling awkward, being ashamed"
記名,kimei,"signature, register"
規約,kiyaku,"agreement, rules, code"
脚色,kyakushoku,"dramatization (e.g., film"
逆転,gyakuten,"(sudden) change, reversal, turn-around"
脚本,kyakuhon,scenario
華奢,kyasha,"delicate, slender"
客観,kyakkan,objective
キャッチ,kyacchi,catch
キャリア,kyaria,"career, career government employee"
救援,kyuuen,"relief, rescue, reinforcement"
休学,kyuugaku,"temporary absence from school, suspension"
究極,kyuukyoku,"ultimate, final, eventual"
窮屈,kyuukutsu,"narrow, tight, formal"
球根,kyuukon,(plant) bulb
救済,kyuusai,"relief, aid, rescue"
給仕,kyuuji,waiter
給食,kyuushoku,"school lunch, providing a meal"
休戦,kyuusen,"truce, armistice"
宮殿,kyuuden,palace
旧知,kyuuchi,"old friend, old friendship"
窮乏,kyuubou,poverty
寄与,kiyo,"contribution, service"
強,kyou,strong
~狂,~kyou,"maniac, fan, freak"
驚異,kyoui,"wonder, miracle"
教科,kyouka,"subject, curriculum"
協会,kyoukai,"association, society, organization"
共学,kyougaku,coeducation
共感,kyoukan,"sympathy, response"
境遇,kyouguu,"environment, circumstances"
教訓,kyoukun,"lesson, precept, moral instruction"
強行,kyoukou,"forcing, enforcement"
強硬,kyoukou,"firm, vigorous, stubborn"
教材,kyouzai,teaching materials
凶作,kyousaku,"bad harvest, poor crop"
業者,gyousha,"trader, merchant"
教習,kyoushuu,"training, instruction"
郷愁,kyoushuu,"nostalgia, homesickness"
教職,kyoushoku,teaching profession
興じる,kyoujiru,"to amuse oneself, to make merry"
強制,kyousei,"obligation, compulsion, enforcement"
行政,gyousei,administration
業績,gyouseki,"achievement, work, contribution"
共存,kyouzon,coexistence
協定,kyoutei,"arrangement, pact, agreement"
郷土,kyoudo,homeland
脅迫,kyouhaku,"threat, coercion"
業務,gyoumu,"business, duties, work"
共鳴,kyoumei,"resonance, sympathy"
郷里,kyouri,"birth-place, home town"
強烈,kyouretsu,"strong, intense, severe"
共和,kyouwa,"republicanism, cooperation"
局限,kyokugen,"limit, localize"
極端,kyokutan,"extreme, extremity"
居住,kyojuu,residence
拒絶,kyozetsu,"refusal, rejection"
漁船,gyosen,fishing boat
漁村,gyoson,fishing village
拒否,kyohi,"denial, rejection, refusal"
許容,kyoyou,"permission, pardon"
清らか,kiyoraka,"clean, pure, chaste"
きらびやか,kirabiyaka,"gorgeous, gaudy, dazzling"
~きり,~kiri,only
義理,giri,"debt of gratitude, obligation"
切替,kirikae,"exchange, conversion, switchover"
気流,kiryuu,atmospheric current
切れ目,kireme,"break, pause, gap"
疑惑,giwaku,"doubt, misgivings, suspicion"
極めて,kiwamete,"exceedingly, extremely (written expression)"
近眼,kingan,nearsightedness
緊急,kinkyuu,"urgent, pressing, emergency"
近郊,kinkou,"suburbs, outskirts"
均衡,kinkou,"equilibrium, balance"
禁じる,kinjiru,to prohibit
勤勉,kimben,"industry, diligence"
吟味,gimmi,"examination, careful investigation"
勤務,kimmu,"service, duty, work"
禁物,kimmotsu,"taboo, forbidden thing"
勤労,kinrou,"labor, exertion, diligent service"
クイズ,kuizu,quiz
食い違う,kuichigau,"to cross each other, to differ"
空間,kuukan,"space, room, airspace"
空腹,kuufuku,hunger
区画,kukaku,"division, section, area"
区間,kukan,section
茎,kuki,stalk
区切り,kugiri,"an end, a stop, punctuation"
くぐる,kuguru,to pass through; to go around
くじ (~をひく),kuji (~ohiku),"lottery, lot"
くじびき,kujibiki,"lottery, drawn lot"
くすぐったい,kusuguttai,ticklish
愚痴,guchi,"idle complaint, grumble"
口吟む,kuchizusamu,to humble
嘴,kuchibashi,"beak, bill"
朽ちる,kuchiru,to rot
覆す,kutsugaesu,"to overturn, to upset, to overthrow"
くっきり,kukkiri,"distinctly, clearly, boldly"
屈折,kussetsu,"bending, indentation, refraction"
ぐっと,gutto,"firmly, fast, more"
首飾り,kubikazari,necklace
首輪,kubiwa,"necklace, choker"
組み込む,kumikomu,"to insert, to include, to cut in (printing)"
組み合わせる,kumiawaseru,"to join together, to combine, to join up"
蔵,kura,"warehouse, cellar"
グレー,guree,"grey, gray"
クレーン,kureen,crane
玄人,kurouto,"expert, professional"
黒字,kuroji,balance (figure) in the black
軍艦,gunkan,"warship, battleship"
軍事,gunji,military affairs
君主,kunshu,"ruler, monarch"
群集,gunshuu,"(social) group, crowd, mob"
群衆,gunshuu,"(social) group, crowd, mob"
軍備,gumbi,"armaments, military preparations"
軍服,gumpuku,military or naval uniform
芸,gei,"art, accomplishment, performance"
経過,keika,"passage, progress"
軽快,keikai,"lively, casual, light"
警戒,keikai,"warning, admonition, vigilance"
敬具,keigu,Sincerely (used at the end of letter)
軽減,keigen,"reduction, lessening"
掲載,keisai,"appearance (e.g., article in paper)"
傾斜,keisha,"inclination, slope, dip"
形成,keisei,formation
形勢,keisei,"condition, situation, prospects"
軽率,keisotsu,"thoughtless, careless, hasty"
刑罰,keibatsu,"judgment, penalty, punishment"
経費,keihi,"expenses, cost, outlay"
警部,keibu,police inspector
転換,tenkan,"convert, divert"
転居,tenkyo,"moving, changing residence"
転勤,tenkin,transfer (to another office of a company)
点検,tenken,"inspection, examination, checking"
電源,dengen,"source of electricity, power (e.g., button on TV)"
天国,tengoku,"paradise, heaven, Kingdom of Heaven"
天才,tensai,a genius
天災,tensai,"natural calamity, disaster"
展示,tenji,"exhibition, display"
伝説,densetsu,"tradition, legend, folklore"
点線,tensen,dotted line
転じる,tenjiru,"to turn, to shift"
転ずる,tenzuru,"to turn, to shift"
天体,tentai,heavenly body
伝達,dentatsu,"transmission (e.g., news, communication, delivery)"
天地,tenchi,"heaven and earth, the universe"
てんで,tende,"(not) at all, altogether, entirely"
転任,tennin,change of post
展望,tembou,"view, outlook, prospect"
伝来,denrai,"ancestral, hereditary, imported"
転落,tenraku,"fall, degradation"
問い合わせる,toiawaseru,"to inquire, to seek information"
当~,tou~,"Our ~ (e.g., Hotel, plane, etc.)"
胴,dou,"trunk, body, frame"
同意,doui,"agreement, consent; same meaning"
動員,douin,mobilization
同感,doukan,"agreement, same opinion, same feeling"
陶器,touki,"pottery, ceramics"
討議,tougi,"debate, discussion"
動機,douki,"motive, incentive"
等級,toukyuu,"grade, class"
同級,doukyuu,"the same grade, same class"
同居,doukyo,living together
登校,toukou,attendance (at school)
統合,tougou,"integration, unification, synthesis"
動向,doukou,"trend, tendency, movement, attitude"
投資,toushi,investment
同情,doujou,"sympathy, compassion, sympathize"
道場,doujou,"(arch) dojo, hall used for martial arts training, mandala"
統制,tousei,"regulation, control"
当選,tousen,"being elected, winning the prize"
逃走,tousou,"flight, desertion, escape"
統率,tousotsu,"command, generalship, leadership"
到達,toutatsu,"reaching, attaining, arrival"
統治,touchi,"rule, reign, governing"
仕切る,shikiru,"to partition, to divide, to mark off"
資金,shikin,"funds, capital"
軸,jiku,"axis, stem, shaft"
しくじる,shikujiru,"to fail, to fall through, to blunder"
仕組,shikumi,"structure, mechanism"
死刑,shikei,death penalty
湿気る,shikeru,"to be damp, to be moist"
施行,shikou,"enforcement, operation"
思考,shikou,thought
志向,shikou,"intention, aim"
嗜好,shikou,"taste, liking, preference"
事項,jikou,"matter(s), item(s), facts"
時刻表,jikokuhyou,"timetable, (train) schedule"
地獄,jigoku,hell
時差,jisa,time difference
自在,jizai,"freely, at will"
視察,shisatsu,"inspection, observation"
資産,shisan,"property, fortune, assets"
支持,shiji,support
自主,jishu,"independence, autonomy"
自首,jishu,"surrender, give oneself up"
刺繍,shishuu,embroidery
市場,shijou,(the) market (as a concept)
辞職,jishoku,resignation
雫,shizuku,drop (of water)
システム,shisutemu,system
沈める,shizumeru,"to sink, to submerge"
施設,shisetsu,"establishment, facility"
事前,jizen,"prior, beforehand, in advance"
子息,shisoku,(hon.) son
持続,jizoku,"continuation, endurance"
自尊心,jisonshin,"self-respect, conceit"
慕う,shitau,to yearn to adore
下心,shitagokoro,"secret intention, motive"
下地,shitaji,"groundwork, foundation"
親しむ,shitashimu,"to be intimate with, to befriend"
下調べ,shitashirabe,preliminary investigation
愛想,aisou,sociability
間柄,aidagara,relationship
合間,aima,interval
敢えて,aete,"dare (to do), venture (to do), challenge (to do)"
仰ぐ,aogu,"to look up (to), to respect; to ask for"
垢,aka,"dirt, filth"
赤字,akaji,"deficit, go in the red"
明かす,akasu,to reveal; to stay up
赤らむ,akaramu,"to become red, to blush"
上がり,agari,"ascent; income; completion, stop"
諦め,akirame,"resignation, reconciliation, consolation"
アクセル,akuseru,(abbr.) accelerator
あくどい,akudoi,gaudy vicious
顎,ago,chin
憧れ,akogare,"yearning, longing, aspiration"
麻,asa,hemp
あざ,aza,"birthmark, bruise"
浅ましい,asamashii,"shameful, mean, despicable"
欺く,azamuku,to deceive
鮮やか,azayaka,"vivid, clear"
嘲笑う,azawarau,"to sneer at, to ridicule"
悪しからず,ashikarazu,"don't take me wrong, but..., I'm sorry"
味わい,ajiwai,"flavor, relish"
焦る,aseru,"to be in a hurry, to be impatient"
あせる (こえが~),aseru (koega~),"to fade, to discolor"
値,atai,"value, price, worth"
値する,ataisuru,"to be worth, to deserve"
悪化,akka,"deterioration, worsen"
扱い,atsukai,"treatment, service"
呆気ない,akkenai,"not enough, too quick (short, long, etc.)"
あっさり,assari,"easily, readily, quickly"
斡旋,assen,"kind offices, mediation"
圧倒,attou,"overwhelm, overpower"
圧迫,appaku,"pressure, coercion, oppression"
あつらえる,atsuraeru,"to give an order, to place an order"
圧力,atsuryoku,"stress, pressure"
当て,ate,expectations; depend
~宛,~ate,"for...(e.g., In a letter)"
当て字,ateji,"phonetic-equivalent character, substitute character"
跡継ぎ,atotsugi,"heir, successor"
後回し,atomawashi,"putting off, postponing"
油絵,aburae,oil painting
アプローチ,apuroochi,approach (in golf)
あべこべ,abekobe,"contrary, opposite, inverse"
甘える,amaeru,"to behave like a spoiled child, to fawn on"
雨具,amagu,rain gear
甘口,amakuchi,sweet flavor
アマチュア,amachua,amateur
網,ami,net
操る,ayatsuru,"to manipulate, to operate, to pull strings"
危ぶむ,ayabumu,"to fear, to have misgivings, to be doubtful"
あやふや,ayafuya,"uncertain, vague, ambiguous"
過ち,ayamachi,"fault, error, indiscretion"
誤る,ayamaru,to make a mistake
歩み,ayumi,"step, progress, history"
歩む,ayumu,to walk
予め,arakajime,"in advance, previously"
荒らす,arasu,to damage; to invade
争い,arasoi,"dispute, quarrel, conflict"
改まる,aratamaru,to be renewed; to be formal
荒っぽい,arappoi,"rough, rude"
アラブ,arabu,Arab
霰,arare,"hail (e.g., falling ice balls)"
有り様,arisama,"state, condition"
ありのまま,arinomama,"the truth, as it is, frankly"
ありふれる,arifureru,"common, ordinary, routine"
アルカリ,arukari,alkali
アルミ,arumi,"aluminum (Al, aluminum)"
アワー,awaa,hour
合わす,awasu,"to join together, to face, to unite"
~合せ,~awase,in all
アンコール,ankooru,encore
暗殺,ansatsu,assassination
暗算,anzan,mental arithmetic
暗示,anji,"hint, suggestion"
案じる,anjiru,"to be anxious, to ponder"
安静,ansei,rest
案の定,annojou,"sure enough, as usual"
いい加減,iikagen,"random, irresponsible"
言い訳,iiwake,"excuse, explanation"
イェス,iesu,yes; Jesus
家出,iede,running away from home
生かす,ikasu,to keep something alive; to make use of
いかに,ikani,"how, in what way"
いかにも,ikanimo,truly (same as 実に (じつに))
異議,igi,"objection, dissent, protest"
生き甲斐,ikigai,"something one lives for, very important"
行き違い,ikichigai,"misunderstanding, disagreement"
意気込む,ikigomu,to be enthusiastic about
育成,ikusei,"rearing, training, cultivation"
幾多,ikuta,"many, numerous"
"(花を〜) 生ける, 活ける",(hanao~) ikeru,to arrange (flowers)
異見,iken,"different opinion, objection"
意向,ikou,"intention, idea, inclination"
移行,ikou,switching over to
いざ,iza,"now, come (now), crucial moment"
移住,ijuu,"migration, immigration"
衣装,ishou,"clothing, costume, outfit"
いじる,ijiru,"to touch, to tamper with"
異性,isei,the opposite sex
遺跡,iseki,historic ruins
依存,izon,"dependence, dependent, reliance"
委託,itaku,"consign (goods (for sale) to a firm), entrust"
いたって,itatte,"very much, exceedingly, extremely"
出世,shusse,"promotion, successful career, eminence"
出題,shutsudai,proposing a question
出動,shutsudou,"mobilization, action"
出費,shuppi,"expenses, disbursements"
出品,shuppin,"exhibit, display"
主導,shudou,main leadership
主任,shunin,"person in charge, responsible official"
首脳,shunou,"head, leader"
守備,shubi,defense
手法,shuhou,technique
樹木,jumoku,"trees and shrubs, arbor"
樹立,juritsu,"establish, create"
準急,junkyuu,"local express (train, slower than an express)"
準じる,junjiru,"to follow, to conform, to apply to"
~署,~sho,department
~症,~shou,disease
~証,~shou,"proof, certificate"
~嬢,~jou,young woman
上位,joui,"superior, higher order"
上演,jouen,art performance
城下,jouka,land near the castle
消去,shoukyo,"elimination, erasing"
上空,joukuu,"sky, high-altitude sky, upper air"
衝撃,shougeki,"shock, crash, impact, ballistic"
証言,shougen,"evidence, testimony"
証拠,shouko,"evidence, proof"
照合,shougou,"check, verification"
詳細,shousai,"detail, particulars"
上昇,joushou,"rising, ascending, climbing"
昇進,shoushin,promotion
称する,shousuru,"to take the name of, to call oneself"
情勢,jousei,"state of things, condition, situation"
消息,shousoku,"news, letter, circumstances"
承諾,shoudaku,"consent, agreement"
情緒,joucho,"emotion, feeling"
情緒,jousho,"emotion, feeling"
象徴,shouchou,symbol
小児科,shounika,pediatrics
使用人,shiyounin,"employee, servant"
情熱,jounetsu,"passion, enthusiasm, zeal"
譲歩,jouho,"concession, conciliation, compromise"
条約,jouyaku,"treaty, pact"
勝利,shouri,"victory, triumph, win"
上陸,jouriku,"landing, disembarkation"
蒸溜,jouryuu,distillation
奨励,shourei,"encouragement, promotion"
ショー,shoo,show
除外,jogai,"exception, exclusion"
職員,shokuin,"staff member, personnel"
植民地,shokuminchi,colony
職務,shokumu,professional duties
諸君,shokun,"Gentlemen!, Ladies!"
助言,jogen,"advice, suggestion"
徐行,jokou,going slowly
所在,shozai,whereabouts
所持,shoji,"possession, owning"
所属,shozoku,"attached to, belong to"
処置,shochi,treatment
しょっちゅう,shocchuu,"always, constantly"
所定,shotei,"fixed, prescribed"
所得,shotoku,income
処罰,shobatsu,punishment
初版,shohan,first edition
書評,shohyou,book review
処分,shobun,"disposal, dealing, punishment"
庶民,shomin,"masses, common people"
庶務,shomu,general affairs
所有,shoyuu,"one's possessions, ownership"
調べ,shirabe,"investigation, inspection"
自立,jiritsu,"independence, self-reliance"
記す,shirusu,"to note, to write down"
指令,shirei,"orders, instructions, directive"
~心,~shin,mind of ~
陣,jin,"battle formation, camp, encampment"
進化,shinka,"evolution, progress"
人格,jinkaku,"personality, character"
審議,shingi,deliberation
新婚,shinkon,newly-wed
審査,shinsa,"judging, inspection, examination"
人材,jinzai,man of talent
紳士,shinshi,gentleman
真実,shinjitsu,"truth, reality"
信者,shinja,"believer, devotee"
真珠,shinju,pearl
進出,shinshutsu,advancement
心情,shinjou,mentality
新人,shinjin,"new face, newcomer"
神聖,shinsei,"holiness, sacredness, dignity"
親善,shinzen,friendship
真相,shinsou,"truth, real situation"
迅速,jinsoku,"quick, fast, prompt"
人体,jintai,human body
新築,shinchiku,"new building, new construction"
心中,shinjuu,double suicide
進呈,shintei,presentation
進展,shinten,"progress, development"
神殿,shinden,"temple, sacred place"
進度,shindo,progress
振動,shindou,"oscillation, vibration"
新入生,shinnyuusei,"new student, first-year student, freshman"
信任,shinnin,"trust, confidence, credence"
神秘,shimpi,mystery
辛抱,shimbou,"patience, endurance"
人民,jimmin,"people, public"
侵略,shinryaku,"aggression, invasion, raid"
診療,shinryou,medical examination and treatment
粋,sui,essence
水源,suigen,source of river
推進,suishin,"propulsion, driving force"
吹奏,suisou,playing wind instruments
推測,suisoku,"guess, conjecture"
水田,suiden,(water-filled) paddy field
推理,suiri,"reasoning, inference, mystery or detective genre"
数詞,suushi,numeral
崇拝,suuhai,"worship, adoration"
据え付ける,suetsukeru,"to install, to equip, to mount"
据える,sueru,"to set, to lay, to place"
すがすがしい,sugasugashii,"fresh, refreshing"
救い,sukui,"help, aid, relief"
すくう (みずを~),sukuu (mizuo~),to scoop
健やか,sukoyaka,"vigorous, healthy, sound"
濯ぐ,susugu,"to rinse, to wash out"
進み,susumi,progress
裾,suso,"(trouser) cuff, (skirt) hem, cut edge of a hairdo"
スタジオ,sutajio,studio
スチーム,suchiimu,steam
ストライキ,sutoraiki,strike
スト,suto,(abbr.) strike
ストロー,sutoroo,straw
ストロボ,sutorobo,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)"
すばしこい,subashikoi,"nimble, smart, quick"
素早い,subayai,"fast, quick"
ずばり,zubari,"decisively, unreservedly, frankly"
スプリング,supuringu,spring
スペース,supeesu,space
ずぶぬれ,zubunure,"soaked, dripping wet"
スポーツカー,supootsukaa,sports car
澄ます,sumasu,"to clear, to make clear, to listen for"
清ます,sumasu,"to clear, to make clear, to listen for"
済ます,sumasu,to finish; to settle; to do without
すみやか,sumiyaka,speedy
スラックス,surakkusu,slacks
ずらっと,zuratto,"in a line, in a row"
ずるずる,zuruzuru,"dragging on, sound of sniffling"
ずれ,zure,"difference, gap"
すれちがい,surechigai,chance encounter
擦れる,sureru,"to rub, to chafe"
すんなり,sunnari,"pass with no objection, slim, slender"
生育,seiiku,"growth, development, breeding"
成育,seiiku,"growth, raising"
成果,seika,"results, fruits"
正解,seikai,"correct, right answer, solution"
正義,seigi,"justice, right, righteousness"
生計,seikei,"livelihood, living"
政権,seiken,"(political) administration, political power"
星座,seiza,constellation
制裁,seisai,"restraint, sanctions, punishment"
政策,seisaku,"political measures, policy"
生死,seishi,life and death
静止,seishi,"stillness, repose, standing still"
誠実,seijitsu,"sincere, honest, faithful"
成熟,seijuku,"maturity, ripeness"
青春,seishun,"youth, springtime of life, adolescent"
清純,seijun,"purity, innocence"
聖書,seisho,Bible
正常,seijou,"normalcy, normality, normal"
制する,seisuru,"to control, to command"
整然,seizen,"orderly, regular, well-organized"
盛装,seisou,"be dressed up, wear rich clothes"
